2018-11-22 01:19:18,523 | main | INFO  | AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames:259 | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-22 01:19:18,539 | main | INFO  | AbstractTestContextBootstrapper.getTestExecutionListeners:185 | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@13acb0d1, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3e3047e6, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@37e547da, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2b6856dd, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5db45159, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6107227e]
2018-11-22 01:19:18,617 | main | INFO  | XmlBeanDefinitionReader.loadBeanDefinitions:317 | Loading XML bean definitions from class path resource [applicationContext.xml]
2018-11-22 01:19:18,824 | main | INFO  | AbstractApplicationContext.prepareRefresh:578 | Refreshing org.springframework.context.support.GenericApplicationContext@d706f19: startup date [Thu Nov 22 01:19:18 IST 2018]; root of context hierarchy
2018-11-22 01:19:18,933 | main | INFO  | PropertiesLoaderSupport.loadProperties:172 | Loading properties file from class path resource [application.properties]
2018-11-22 01:19:18,933 | main | INFO  | AutowiredAnnotationBeanPostProcessor.<init>:153 | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-11-22 01:19:18,964 | main | INFO  | AsyncAnnotationBeanPostProcessor.setBeanFactory:143 | No TaskExecutor bean found for async annotation processing.
2018-11-22 01:19:19,183 | Thread-1 | INFO  | AbstractApplicationContext.doClose:960 | Closing org.springframework.context.support.GenericApplicationContext@d706f19: startup date [Thu Nov 22 01:19:18 IST 2018]; root of context hierarchy
2018-11-22 09:21:33,828 | main | INFO  | AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames:259 | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-22 09:21:33,847 | main | INFO  | AbstractTestContextBootstrapper.getTestExecutionListeners:185 | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@327b636c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@45dd4eda, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@60611244, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3745e5c6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5e4c8041, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71c8becc]
2018-11-22 09:21:33,935 | main | INFO  | XmlBeanDefinitionReader.loadBeanDefinitions:317 | Loading XML bean definitions from class path resource [applicationContext.xml]
2018-11-22 09:21:34,178 | main | INFO  | AbstractApplicationContext.prepareRefresh:578 | Refreshing org.springframework.context.support.GenericApplicationContext@61dd025: startup date [Thu Nov 22 09:21:34 IST 2018]; root of context hierarchy
2018-11-22 09:21:34,312 | main | INFO  | PropertiesLoaderSupport.loadProperties:172 | Loading properties file from class path resource [billapps.properties]
2018-11-22 09:21:34,318 | main | INFO  | AutowiredAnnotationBeanPostProcessor.<init>:153 | JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-11-22 09:21:34,351 | main | INFO  | AsyncAnnotationBeanPostProcessor.setBeanFactory:143 | No TaskExecutor bean found for async annotation processing.
2018-11-22 09:21:34,828 | Thread-1 | INFO  | AbstractApplicationContext.doClose:960 | Closing org.springframework.context.support.GenericApplicationContext@61dd025: startup date [Thu Nov 22 09:21:34 IST 2018]; root of context hierarchy
2018-11-22 09:27:36,163 | main | INFO  | AbstractTestContextBootstrapper.getDefaultTestExecutionListenerClassNames:259 | Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-22 09:27:36,181 | main | INFO  | AbstractTestContextBootstrapper.getTestExecutionListeners:185 | Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@327b636c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@45dd4eda, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@60611244, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3745e5c6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@5e4c8041, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@71c8becc]
